_id,id,name,start_neighborhood,end_neighborhood,built,year_rehab,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
3,290122944,2nd Avenue Bridge,Squirrel Hill South,Swisshelm Park,1886,1970,https://tools.wprdc.org/images/pittsburgh/bridges/2nd_Avenue_Bridge.jpg,Swisshelm Park,5,14,42003141400,3,14,4,2-12,40.41520228,-79.9156954
95,1498814681,Panther Hollow Bridge,Squirrel Hill South,,1895,1981,https://tools.wprdc.org/images/pittsburgh/bridges/Panther_Hollow_Bridge.jpg,Squirrel Hill South,5,14,42003980500,3,14,4,2-8,40.43714974,-79.94679944
110,2123274085,Schenley Drive Bridge,North Oakland,Squirrel Hill South,1896,1981,https://tools.wprdc.org/images/pittsburgh/bridges/Schenley_Drive_Bridge.jpg,Squirrel Hill North,5,14,42003140100,3,14,4,2-8,40.44132147,-79.94919582
53,259287705,Forbes Avenue Oakland Bridge,Squirrel Hill North,North Oakland,1898,1983,https://tools.wprdc.org/images/pittsburgh/bridges/Forbes_Avenue_Oakland_Bridge.jpg,Squirrel Hill North,8,14,42003140100,3,14,4,2-9,40.44452477,-79.9467025
9,1811658780,Bajo Street Bridge,Arlington,,1900,1900,https://tools.wprdc.org/images/pittsburgh/bridges/Bajo_Street_Bridge.jpg,Arlington,3,16,42003561600,4,16,3,4-13,40.40970121,-79.96363304
8,1942222929,Arcata Street Bridge,Overbrook,,1900,1980,,Overbrook,4,32,42003320700,4,32,3,4-25,40.37676593,-79.99451188
78,72322424,Lowrie Street Bridge,Troy Hill,,1900,2000,https://tools.wprdc.org/images/pittsburgh/bridges/Lowrie_Street_Bridge.jpg,Troy Hill,1,24,42003240600,1,24,1,1-2,40.46571991,-79.98119288
113,524537943,Shaler Street Bridge,West End,,1900,1979,https://tools.wprdc.org/images/pittsburgh/bridges/Shaler_Street_Bridge.jpg,West End,2,20,42003562600,5,20,6,1-17,40.43269786,-80.02983653
138,1455053898,Wilksboro Avenue Pedestrian Bridge,Brighton Heights,,1900,1933,https://tools.wprdc.org/images/pittsburgh/bridges/Wilksboro_Avenue_Pedestrian_Bridge.jpg,Brighton Heights,1,27,42003270100,1,27,1,1-14,40.48591012,-80.04535131
115,864685367,South 12th Street Bridge,Southside Flats,Southside Slopes,1901,1972,https://tools.wprdc.org/images/pittsburgh/bridges/South_12th_Street_Bridge.jpg,South Side Flats,3,17,42003170200,4,17,3,4-24,40.42580252,-79.9857974
107,123727814,Ridge Avenue Bridge,Allegheny West,,1903,1957,https://tools.wprdc.org/images/pittsburgh/bridges/Ridge_Avenue_Bridge.jpg,Allegheny West,1,22,42003562700,1,22,1,1-7,40.45118793,-80.01026351
137,2065861344,West Ohio Street Bridge,Allegheny Center,Allegheny West,1903,1958,https://tools.wprdc.org/images/pittsburgh/bridges/West_Ohio_Street_Bridge.jpg,Allegheny Center,1,22,42003562700,1,22,1,1-7,40.45161859,-80.01067255
65,1667705177,Hot Metal Street Bridge,Southside Flats,South Oakland,1904,2000,https://tools.wprdc.org/images/pittsburgh/bridges/Hot_Metal_Street_Bridge.jpg,,3,,42003160900,,,,,40.4284202,-79.96041362
