validated,venue_name,venue_type,venue_address,website,events,etc,menu,venue_notes,phone,email,homemade_pierogies,take_out,alcohol,lunch,handicap,publish,id,latitude,longitude
TRUE,Sacred Heart Parish,Church,"310 Shady Avenue, Pittsburgh, PA 15206",http://www.sacredheartparishshadyside.org/Fish-Fry,"Friday Mar 10 from 5:00 PM to 7:30 PM, Friday Mar 31 from 5:00 PM to 7:30 PM, Friday Apr 7 from 5:00 PM to 7:30 PM, Friday Mar 24 from 5:00 PM to 7:30 PM, Friday Mar 17 from 5:00 PM to 7:30 PM, Friday Mar 3 from 5:00 PM to 7:30 PM",Fridays of Lent (except Good Friday) 5-7:30,see website,,412-361-3131,,,TRUE,,,,TRUE,282,40.456095,-79.923314
FALSE,Robert Wholey & Co Inc,,"1711 Penn Avenue, Pittsburgh, PA",,,,,,,,,,,,,FALSE,99,40.450032,-79.98599
TRUE,Most Holy Name,Unsure / N/A,"1515 Tinsbury Street, Pittsburgh, PA",https://www.mostholynameofjesusparish15212.org/,"Friday Mar 10 from 4:00 AM to 7:00 PM, Friday Mar 3 from 4:00 AM to 7:00 PM, Friday Mar 24 from 4:00 AM to 7:00 PM, Friday Mar 31 from 4:00 AM to 7:00 PM, Friday Apr 7 from 4:00 AM to 7:00 PM, Friday Mar 17 from 4:00 AM to 7:00 PM",,https://www.mostholynameofjesusparish15212.org/documents/2017/2/2017%20fish%20menu%20jpg.pdf,,,,,TRUE,,,,TRUE,283,40.464242,-79.983391
TRUE,"St. Teresa of Avila, Perrysville",Church,"1000 Avila Court Pittsburgh, PA 15237",http://avilaparish.org/lenten-fish-fry/,"Friday Mar 10 from 4:30 PM to 7:30 PM, Friday Mar 3 from 4:30 PM to 7:30 PM, Friday Mar 24 from 4:30 PM to 7:30 PM, Friday Apr 7 from 4:30 PM to 7:30 PM, Friday Mar 31 from 4:30 PM to 7:30 PM, Friday Mar 17 from 4:30 PM to 7:30 PM, Friday Apr 14 from 3:30 PM to 7:30 PM",,"Fried Fish, Baked Fish, Fried Shrimp, Fish Sandiwhces, Shrimp Baskets, Homemade Mac and Cheese!, Homemade Cole Slaw -secret recipe!, Apple Sauce, French Fries, Baked Potatoes, New England Clam Chowder, Tomato Florentine Soup, Bread, Butter, Drink, Yummy Desserts, , Beer and Wine Available!!, , Dinners: $10, Junior Meal $5 age 6 - 10, Kids Meal - Free! age 5 and under",,,,,,TRUE,,,TRUE,47,40.539051,-80.039719
TRUE,Nied's Hotel,Restaurant,"5438 Butler St, Pittsburgh, PA 15201",http://niedshotel.myfastsite.com/,"Friday Mar 24 from 7:00 AM to 11:45 PM, Friday Mar 10 from 7:00 AM to 11:45 PM, Friday Mar 31 from 7:00 AM to 11:45 PM, Friday Mar 17 from 7:00 AM to 11:45 PM, Friday Apr 14 from 7:00 AM to 11:45 PM, Friday Apr 7 from 7:00 AM to 11:45 PM, Friday Mar 3 from 7:00 AM to 11:45 PM",famous fish sandwich,http://niedshotel.myfastsite.com/menu/,,412-781-9853,,,TRUE,TRUE,TRUE,,TRUE,163,40.483363,-79.949836
FALSE,Harris Grill,Restaurant,"5747 Ellsworth, Pittsburgh, PA",http://harrisgrill.com/,,No info for this year.,,,,,,,,,,FALSE,62,40.455965,-79.931308
TRUE,"St. Stephen, Hazelwood",Church,"134 East Elizabeth St. Pittsburgh, PA",http://www.ststephen-hazelwood.org/,"Friday Mar 31 from 3:30 PM to 7:00 PM, Friday Apr 14 from 3:30 PM to 7:00 PM, Friday Mar 24 from 3:30 PM to 7:00 PM, Friday Apr 7 from 3:30 PM to 7:00 PM, Friday Mar 3 from 3:30 PM to 7:00 PM, Friday Mar 17 from 3:30 PM to 7:00 PM, Friday Mar 10 from 3:30 PM to 7:00 PM",,"Baked and fried fish dinners include french fries and cole slaw. A la carte menu features fried or baked fish sandwiches, grilled cheese, french fries, macaroni and cheese, haluski and cole slaw. Also featuring bake sale.",,412-421-9210 office 412-421-4748 takeout orders,,,TRUE,FALSE,FALSE,TRUE,TRUE,46,40.407194,-79.942663
FALSE,Brown Chapel AME Church,Church,"1400 Boyle St. Pittsburgh, PA",,,,,,,,,,,,,FALSE,170,40.457463,-80.006315
TRUE,Kretzler's Tavern,Restaurant,"2240 Babcock Blvd., Pittsburgh, Pennsylvania",http://www.kretzlerstavern.com/,,,famous fish sandwich,,,,,,TRUE,TRUE,,TRUE,286,40.512522,-79.997174
TRUE,"St. Therese of Lisieux, Munhall",Church,"3 St. Therese Court Pittsburgh, PA",http://www.st-therese.net/,"Friday Mar 17 from 3:30 PM to 7:00 PM, Friday Mar 31 from 3:30 PM to 7:00 PM, Friday Apr 14 from 3:30 PM to 7:00 PM, Friday Apr 7 from 3:30 PM to 7:00 PM, Friday Mar 3 from 3:30 PM to 7:00 PM, Friday Mar 10 from 3:30 PM to 7:00 PM, Friday Mar 24 from 3:30 PM to 7:00 PM",,,,412-462-8164,,,TRUE,,FALSE,,TRUE,48,40.387956,-79.901066
