_id,id,name,street,to_street,year_constructed,public_view,inactive,height,length,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
201,1348123324,Josephine St,JOSEPHINE ST,,1940,True,False,8.5,233.0,,South Side Slopes,3,16,42003160800,4,16,3,4-22,40.41843903,-79.96523513
4,819232404,1039-1047 Arlington Ave East,ARLINGTON AVE,,1940,True,False,3.0,121.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/1039-1047_Arlington_Ave_East.jpg,Allentown,3,18,42003180300,4,18,3,4-5,40.42350707,-79.98886829
202,1188363839,Josephine St 2,JOSEPHINE ST,,1940,True,False,6.0,129.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Josephine_St_2.jpg,South Side Slopes,3,16,42003160800,4,16,3,4-24,40.42327511,-79.96771141
260,1711348566,Mutual Park,BOWSER WAY,,,True,False,,200.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Mutual_Park.jpg,Sheraden,2,20,42003202200,5,20,6,1-16,40.45186977,-80.06425469
263,956113630,N Charles St 2,N CHARLES ST,HAZELTON AVE,,True,False,,335.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/N_Charles_St_2.jpg,Perry South,6,26,42003261400,1,26,1,1-23,40.47108601,-80.00788428
264,2064412339,N Dithridge St,N DITHRIDGE ST,BIGELOW BLVD,,True,False,,375.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/N_Dithridge_St.jpg,North Oakland,6,5,42003562000,3,5,4,2-23,40.45205318,-79.95358982
265,1405025073,N. Charles St from Izora St,N CHARLES ST,,1935,True,False,10.0,206.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/N._Charles_St_from_Izora_St.jpg,Perry South,6,26,42003261500,1,26,1,1-12,40.46438923,-80.02065376
267,1613353231,Noblestown Rd 1,NOBLESTOWN RD,,1930,True,False,8.0,314.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Noblestown_Rd_1.jpg,West End,2,20,42003562600,5,20,6,1-17,40.43880794,-80.03515687
46,1867325372,Banksville Ave at Anise St,BANKSVILLE AVE,,1986,True,False,8.0,126.0,,Banksville,2,20,42003202300,5,20,6,4-9,40.40730623,-80.03411237
268,37739198,Noblestown Rd 2,NOBLESTOWN RD,,1996,True,False,8.0,130.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Noblestown_Rd_2.jpg,West End,2,20,42003562600,5,20,6,1-17,40.4398964,-80.03521169
269,73428506,Noblestown Rd 3,NOBLESTOWN RD,,,True,False,,130.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Noblestown_Rd_3.jpg,Westwood,2,20,42003563100,5,20,6,1-17,40.43757393,-80.04234366
216,1817314949,Liberty Ave from 21st St to S 25th St,LIBERTY AVE,S 25TH ST,,True,False,,935.0,,Strip District,7,2,42003020300,6,2,2,2-25,40.452333,-79.98056981
218,1706044958,List St,LIST ST,,,True,False,,50.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/List_St.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46667016,-79.99737432
221,124049967,Luella St from Gershon St,LUELLA ST,,1937,True,False,9.0,480.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Luella_St_from_Gershon_St.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46844577,-80.00013816
222,775765800,Luella St from South Side Ave to Shine Way,LUELLA ST,SHINE WAY,1937,True,False,5.0,95.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Luella_St_from_South_Side_Ave_to_Shine_Way.jpg,Spring Hill-City View,1,26,42003262000,1,26,1,1-11,40.46977954,-79.99769725
271,869705885,Oakhill St,OAKHILL ST,,,True,False,,60.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Oakhill_St.jpg,Marshall-Shadeland,1,27,42003271500,1,27,1,1-14,40.47224063,-80.03397149
272,352596746,Oakley Way 1,OAKLEY WAY,,,True,False,,65.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Oakley_Way_1.jpg,South Side Slopes,3,16,42003160800,4,16,3,4-22,40.42129633,-79.96779821
273,1535120310,Oakley Way 2,OAKLEY WAY,,,True,False,,190.0,https://tools.wprdc.org/images/pittsburgh/retaining_walls/Oakley_Way_2.jpg,South Side Slopes,3,16,42003160800,4,16,3,4-22,40.42166142,-79.96867114
